Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,47483829,,,,47483829,,34388119,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,512893034,,,,512893034,,414240983,,,0
H5,2017,2017,2017,4,0,1,Import,300,Greece,GRC,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,2224310,,,,2224310,,3889685,,,0
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,3406937,,,,,,3588664,,,6
H5,2017,2017,2017,4,0,1,Import,304,Greenland,GRL,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,78,,,,78,,8963,,,0
H5,2017,2017,2017,4,0,2,Export,304,Greenland,GRL,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,29,,,,29,,756,,,0
H5,2017,2017,2017,4,0,1,Import,320,Guatemala,GTM,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,81262784,,,,81262784,,107307692,,,0
H5,2017,2017,2017,4,0,2,Export,320,Guatemala,GTM,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,1369855,,,,1369855,,4425576,,,0
H5,2017,2017,2017,4,0,1,Import,340,Honduras,HND,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,79397498,,,,44718593,,87107500,,,0
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,66990,,,,66990,,88108,,,0
H5,2017,2017,2017,4,0,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,17589304,,,,17589304,,5442192,,,0
H5,2017,2017,2017,4,0,2,Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,20487969,,,,20487969,,12880439,,,0
H5,2017,2017,2017,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,77777416,,,,77777416,,76087897,,,6
H5,2017,2017,2017,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,45239173,,,,45239173,,47394715,,,0
H5,2017,2017,2017,4,0,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,35029,,,,35029,,416599,,,6
H5,2017,2017,2017,4,0,2,Export,352,Iceland,ISL,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,3144178,,,,3144178,,1078895,,,0
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,128474,,,,128474,,1091787,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,927717,,,,927717,,2749952,,,6
H5,2017,2017,2017,4,0,1,Import,364,Iran,IRN,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,2006,,,,2006,,11450,,,0
H5,2017,2017,2017,4,0,2,Export,364,Iran,IRN,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,2426,,,,2426,,1981,,,0
H5,2017,2017,2017,4,0,1,Import,372,Ireland,IRL,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,52112,,,,52112,,898884,,,6
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,12470765,,,,12470765,,12446208,,,0
H5,2017,2017,2017,4,0,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,2039897,,,,,,2522000,,,6
H5,2017,2017,2017,4,0,2,Export,376,Israel,ISR,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,4473291,,,,4473291,,5000000,,,6
H5,2017,2017,2017,4,0,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,50731681,,,,50731681,,48882981,,,0
H5,2017,2017,2017,4,0,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,155100623,,,,,,135918573,,,6
H5,2017,2017,2017,4,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,5141066,,,,5141066,,39138737,,,0
H5,2017,2017,2017,4,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,242802954,,,,242802954,,85272944,,,0
H5,2017,2017,2017,4,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,1590360,,,,1590360,,2494513,,,0
H5,2017,2017,2017,4,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,8763,,,,8763,,88379,,,0
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,15546739,,,,15546739,,15415546,,,0
H5,2017,2017,2017,4,0,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,89899,,,,89899,,166929,,,0
H5,2017,2017,2017,4,0,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,45474069,,,,45474069,,29274376,,,0
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,323343668,,,,323343668,,306994045,,,0
H5,2017,2017,2017,4,0,1,Import,414,Kuwait,KWT,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,541931,,,,541931,,1203108,,,0
H5,2017,2017,2017,4,0,2,Export,414,Kuwait,KWT,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,32515279,,,,32515279,,25000586,,,0
H5,2017,2017,2017,4,0,1,Import,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,1886825,,,,1886825,,1213465,,,0
H5,2017,2017,2017,4,0,2,Export,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,339113,,,,339113,,486143,,,0
H5,2017,2017,2017,4,0,1,Import,418,Lao People's Dem. Rep.,LAO,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,266941,,,,266941,,323144,,,6
H5,2017,2017,2017,4,0,2,Export,418,Lao People's Dem. Rep.,LAO,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,428451,,,,428451,,515501,,,6
H5,2017,2017,2017,4,0,1,Import,422,Lebanon,LBN,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,18002493,,,,18002493,,19169449,,,0
H5,2017,2017,2017,4,0,2,Export,422,Lebanon,LBN,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,232729,,,,232729,,215671,,,0
H5,2017,2017,2017,4,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,1240568,,,,1240568,,741207,,,0
H5,2017,2017,2017,4,0,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,61917,,,,61917,,72307,,,6
H5,2017,2017,2017,4,0,1,Import,428,Latvia,LVA,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,11373636,,,,11373636,,21247628,,,0
H5,2017,2017,2017,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,5575212,,,,5575212,,10134692,,,6
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,58716868,,,,58716868,,67454504,,,0
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,47776264,,,,47776264,,71720797,,,0
H5,2017,2017,2017,4,0,1,Import,442,Luxembourg,LUX,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,72558,,,,72558,,318036,,,0
H5,2017,2017,2017,4,0,2,Export,442,Luxembourg,LUX,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,39,,,,39,,282609,,,0
H5,2017,2017,2017,4,0,1,Import,450,Madagascar,MDG,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,64083328,,,,63941232,,50437746,,,6
H5,2017,2017,2017,4,0,2,Export,450,Madagascar,MDG,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,124810,,,,124810,,225393,,,0
H5,2017,2017,2017,4,0,1,Import,458,Malaysia,MYS,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,244993329,,,,244993329,,178167600,,,0
H5,2017,2017,2017,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,127551343,,,,127551343,,108336675,,,0
H5,2017,2017,2017,4,0,1,Import,462,Maldives,MDV,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,548,,,,548,,1868,,,0
H5,2017,2017,2017,4,0,1,Import,470,Malta,MLT,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,33590,,,,,,172432,,,6
H5,2017,2017,2017,4,0,2,Export,470,Malta,MLT,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,882459,,,,,,667662,,,6
H5,2017,2017,2017,4,0,1,Import,480,Mauritius,MUS,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,2412,,,,2412,,3169,,,0
H5,2017,2017,2017,4,0,2,Export,480,Mauritius,MUS,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,2092951,,,,2092951,,1491529,,,0
H5,2017,2017,2017,4,0,1,Import,490,"Other Asia, nes",,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,2404889,,,,2404889,,538256,,,0
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,38932755,,,,38932755,,9905350,,,6
H5,2017,2017,2017,4,0,1,Import,496,Mongolia,MNG,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,4838096,,,,4838096,,5708400,,,0
H5,2017,2017,2017,4,0,2,Export,496,Mongolia,MNG,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,2712,,,,2712,,9071,,,0
H5,2017,2017,2017,4,0,1,Import,499,Montenegro,MNE,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,114271,,,,114271,,318932,,,0
H5,2017,2017,2017,4,0,2,Export,499,Montenegro,MNE,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,1937,,,,1937,,9390,,,0
H5,2017,2017,2017,4,0,1,Import,504,Morocco,MAR,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,15610830,,,,15610830,,7586145,,,0
H5,2017,2017,2017,4,0,2,Export,504,Morocco,MAR,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,7232073,,,,7232073,,11784817,,,0
H5,2017,2017,2017,4,0,2,Export,512,Oman,OMN,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,4334595,,,,4334595,,1007487,,,0
H5,2017,2017,2017,4,0,1,Import,516,Namibia,NAM,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,1,No Quantity,0,,,,0,,314982,,,0
H5,2017,2017,2017,4,0,2,Export,516,Namibia,NAM,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,1,No Quantity,0,,,,0,,79944,,,0
